Player,Team,RAPM,ORAPM,DRAPM,RAPM_SOURCE
Cooper Flagg,DAL,-3.95,-2.43,-1.52,EXTERNAL_JSON
Ayo Dosunmu,CHI,-2.74,-1.06,-1.67,EXTERNAL_JSON
Guerschon Yabusele,NYK,-0.73,0.22,-0.95,EXTERNAL_JSON
Gui Santos,GSW,0.9,0.48,0.42,EXTERNAL_JSON
Marvin Bagley III,WAS,-2.17,-1.14,-1.03,EXTERNAL_JSON
Isaiah Livers,PHX,-0.58,-0.12,-0.46,EXTERNAL_JSON
Andrew Wiggins,MIA,-1.74,-0.97,-0.77,EXTERNAL_JSON
Kris Murray,POR,-2.05,-2.67,0.62,EXTERNAL_JSON
Pelle Larsson,MIA,-0.61,0.15,-0.76,EXTERNAL_JSON
Cam Thomas,BKN,-3.24,0.15,-3.39,EXTERNAL_JSON
Baylor Scheierman,BOS,-0.96,-0.96,0.01,EXTERNAL_JSON
Ja'Kobe Walter,TOR,-3.18,-1.69,-1.49,EXTERNAL_JSON
Mike Conley,MIN,1.19,1.07,0.12,EXTERNAL_JSON
Riley Minix,SAS,-0.43,-0.34,-0.09,EXTERNAL_JSON
Gary Trent Jr.,MIL,-3.98,-0.25,-3.73,EXTERNAL_JSON
Vince Williams Jr.,MEM,-0.44,-1.01,0.57,EXTERNAL_JSON
Zach Collins,CHI,-1.53,-1.71,0.18,EXTERNAL_JSON
Ronald Holland II,DET,-0.5,-1.26,0.77,EXTERNAL_JSON
Tyler Kolek,NYK,-2.17,-1.96,-0.21,EXTERNAL_JSON
Cam Christie,LAC,-0.4,-1.24,0.84,EXTERNAL_JSON
Wendell Moore Jr.,DET,-2.79,-2.4,-0.39,EXTERNAL_JSON
Svi Mykhailiuk,UTA,0.38,-0.02,0.39,EXTERNAL_JSON
Marcus Sasser,DET,-2.14,-1.14,-1.01,EXTERNAL_JSON
Matas Buzelis,CHI,-1.19,-2.12,0.92,EXTERNAL_JSON
Kyle Anderson,UTA,-0.91,-2.22,1.32,EXTERNAL_JSON
Corey Kispert,WAS,-1.98,0.52,-2.51,EXTERNAL_JSON
Simone Fontecchio,MIA,-0.41,-0.67,0.26,EXTERNAL_JSON
Klay Thompson,DAL,-2.0,-1.1,-0.89,EXTERNAL_JSON
Naji Marshall,DAL,-0.27,-0.79,0.52,EXTERNAL_JSON
Jake LaRavia,LAL,-0.3,0.97,-1.26,EXTERNAL_JSON
Trendon Watford,PHI,-1.31,-1.17,-0.14,EXTERNAL_JSON
Dylan Harper,SAS,1.21,1.66,-0.44,EXTERNAL_JSON
Jaden Ivey,DET,-3.83,-1.37,-2.47,EXTERNAL_JSON
Zaccharie Risacher,ATL,-1.95,-1.14,-0.81,EXTERNAL_JSON
Bennedict Mathurin,IND,-2.77,-1.58,-1.19,EXTERNAL_JSON
Karlo Matkovic,NOP,-0.88,-1.24,0.36,EXTERNAL_JSON
Jamal Cain,ORL,-1.89,-0.75,-1.14,EXTERNAL_JSON
Taylor Hendricks,UTA,-3.03,-2.49,-0.53,EXTERNAL_JSON
Dalton Knecht,LAL,-2.68,-0.72,-1.96,EXTERNAL_JSON
Taurean Prince,MIL,-2.31,-0.87,-1.45,EXTERNAL_JSON
Thanasis Antetokounmpo,MIL,-1.51,-1.0,-0.51,EXTERNAL_JSON
Devin Carter,SAC,0.29,-0.32,0.61,EXTERNAL_JSON
Nicolas Batum,LAC,0.54,-0.17,0.71,EXTERNAL_JSON
Jonas Valanciunas,DEN,0.37,1.33,-0.97,EXTERNAL_JSON
Pat Connaughton,CHA,-2.2,-1.3,-0.9,EXTERNAL_JSON
Scoot Henderson,POR,-2.63,-0.75,-1.88,EXTERNAL_JSON
Buddy Hield,GSW,-2.97,-1.15,-1.82,EXTERNAL_JSON
Zach LaVine,SAC,-1.44,0.46,-1.91,EXTERNAL_JSON
Kobe Brown,LAC,-3.89,-2.23,-1.67,EXTERNAL_JSON
Saddiq Bey,NOP,-2.09,0.37,-2.45,EXTERNAL_JSON
Caris LeVert,DET,-0.46,0.22,-0.68,EXTERNAL_JSON
Emanuel Miller,CHI,-2.01,-1.14,-0.88,EXTERNAL_JSON
Asa Newell,ATL,-0.24,-0.59,0.35,EXTERNAL_JSON
Tim Hardaway Jr.,DEN,-0.5,0.94,-1.43,EXTERNAL_JSON
DeMar DeRozan,SAC,0.37,1.49,-1.12,EXTERNAL_JSON
Jamison Battle,TOR,-2.68,-1.44,-1.24,EXTERNAL_JSON
Gradey Dick,TOR,-2.84,-1.22,-1.63,EXTERNAL_JSON
Thomas Bryant,CLE,-2.26,-1.88,-0.39,EXTERNAL_JSON
Pat Spencer,GSW,0.53,-0.23,0.76,EXTERNAL_JSON
Nae'Qwan Tomlin,CLE,0.92,-0.54,1.46,EXTERNAL_JSON
Ziaire Williams,BKN,-3.57,-2.66,-0.91,EXTERNAL_JSON
Jeremiah Robinson-Earl,IND,-4.97,-1.72,-3.25,EXTERNAL_JSON
Seth Curry,GSW,-1.21,-0.81,-0.4,EXTERNAL_JSON
Dominick Barlow,PHI,-1.39,-1.68,0.29,EXTERNAL_JSON
Caleb Houstan,ATL,-3.03,-2.38,-0.65,EXTERNAL_JSON
Jaden Hardy,DAL,-3.53,-2.71,-0.83,EXTERNAL_JSON
Drew Eubanks,SAC,-2.93,-2.48,-0.45,EXTERNAL_JSON
Alexandre Sarr,WAS,-0.68,-1.43,0.75,EXTERNAL_JSON
Brice Sensabaugh,UTA,-3.76,-0.61,-3.15,EXTERNAL_JSON
Trayce Jackson-Davis,GSW,-1.98,-0.85,-1.14,EXTERNAL_JSON
Kyshawn George,WAS,-2.23,-1.97,-0.26,EXTERNAL_JSON
Jonathan Kuminga,GSW,-1.67,-1.57,-0.1,EXTERNAL_JSON
Cole Anthony,MIL,-1.67,-0.96,-0.71,EXTERNAL_JSON
Bradley Beal,LAC,-2.42,-0.16,-2.26,EXTERNAL_JSON
David Jones,SAS,0.67,0.26,0.41,EXTERNAL_JSON
Jabari Walker,PHI,-2.06,-1.05,-1.01,EXTERNAL_JSON
Leonard Miller,MIN,-0.63,-0.89,0.25,EXTERNAL_JSON
E.J. Liddell,BKN,-0.49,-0.23,-0.26,EXTERNAL_JSON
Spencer Jones,DEN,-0.9,-1.07,0.18,EXTERNAL_JSON
Tolu Smith,DET,-0.79,-0.57,-0.22,EXTERNAL_JSON
VJ Edgecombe,PHI,1.34,-0.03,1.37,EXTERNAL_JSON
Chris Livingston,CLE,-1.58,-1.76,0.19,EXTERNAL_JSON
Maxime Raynaud,SAC,-1.64,-0.77,-0.87,EXTERNAL_JSON
Brandon Miller,CHA,-2.54,-1.39,-1.15,EXTERNAL_JSON
Harrison Ingram,SAS,0.34,0.19,0.14,EXTERNAL_JSON
Russell Westbrook,SAC,-2.77,-1.17,-1.6,EXTERNAL_JSON
Ethan Thompson,IND,0.24,0.18,0.06,EXTERNAL_JSON
Jordan Poole,NOP,-3.19,-1.91,-1.29,EXTERNAL_JSON
Ben Sheppard,IND,-1.6,-0.28,-1.31,EXTERNAL_JSON
Ousmane Dieng,OKC,-1.21,-1.8,0.59,EXTERNAL_JSON
Cedric Coward,MEM,-0.04,-1.16,1.13,EXTERNAL_JSON
Maxi Kleber,LAL,0.15,-0.68,0.83,EXTERNAL_JSON
Doug McDermott,SAC,-2.21,0.11,-2.33,EXTERNAL_JSON
Jalen Wilson,BKN,-2.12,-0.93,-1.19,EXTERNAL_JSON
Walter Clayton Jr.,UTA,-0.35,0.82,-1.17,EXTERNAL_JSON
Tristan da Silva,ORL,-2.37,-1.91,-0.46,EXTERNAL_JSON
Cam Whitmore,WAS,-2.6,-0.63,-1.98,EXTERNAL_JSON
