Player,Team,RAPM,ORAPM,DRAPM,RAPM_SOURCE,PTS,MIN,GP
Tyler Kolek,NYK,-2.17,-1.96,-0.21,EXTERNAL_JSON,3.6,9.9,20.0
Cam Christie,LAC,-0.4,-1.24,0.84,EXTERNAL_JSON,4.4,11.5,16.0
Wendell Moore Jr.,DET,-2.79,-2.4,-0.39,EXTERNAL_JSON,2.0,14.4,3.0
Svi Mykhailiuk,UTA,0.38,-0.02,0.39,EXTERNAL_JSON,9.0,26.0,23.0
Marcus Sasser,DET,-2.14,-1.14,-1.01,EXTERNAL_JSON,0.0,4.2,1.0
Matas Buzelis,CHI,-1.19,-2.12,0.92,EXTERNAL_JSON,14.0,28.6,23.0
Kyle Anderson,UTA,-0.91,-2.22,1.32,EXTERNAL_JSON,7.5,18.3,8.0
Corey Kispert,WAS,-1.98,0.52,-2.51,EXTERNAL_JSON,8.9,19.9,17.0
Simone Fontecchio,MIA,-0.41,-0.67,0.26,EXTERNAL_JSON,9.8,18.6,24.0
Klay Thompson,DAL,-2.0,-1.1,-0.89,EXTERNAL_JSON,11.0,21.8,23.0
Naji Marshall,DAL,-0.27,-0.79,0.52,EXTERNAL_JSON,12.6,27.5,25.0
Jake LaRavia,LAL,-0.3,0.97,-1.26,EXTERNAL_JSON,8.5,24.5,24.0
Trendon Watford,PHI,-1.31,-1.17,-0.14,EXTERNAL_JSON,8.9,20.4,14.0
Dylan Harper,SAS,1.21,1.66,-0.44,EXTERNAL_JSON,13.4,21.7,14.0
Jaden Ivey,DET,-3.83,-1.37,-2.47,EXTERNAL_JSON,7.6,13.9,9.0
Zaccharie Risacher,ATL,-1.95,-1.14,-0.81,EXTERNAL_JSON,11.1,24.7,22.0
Bennedict Mathurin,IND,-2.77,-1.58,-1.19,EXTERNAL_JSON,21.5,32.9,13.0
Karlo Matkovic,NOP,-0.88,-1.24,0.36,EXTERNAL_JSON,,,
Jamal Cain,ORL,-1.89,-0.75,-1.14,EXTERNAL_JSON,1.6,6.3,5.0
