id,date,home_team,away_team,prob_home,prob_away,prob_mc_home,prob_mc_away,odd_home,odd_away,prediction,confidence,home_score,away_score,winner,correct,timestamp,fgm,fga,fg3m,tov,oreb,dreb,fta,ftm,ast,stl,blk,pf,pts,opp_fgm,opp_fga,opp_fg3m,opp_tov,opp_oreb,opp_dreb,opp_fta,opp_ftm,opp_ast,opp_stl,opp_blk,opp_pf,opp_pts,predicted_spread,predicted_total,ci_lower,ci_upper
2024-10-14_GoldenStateWarriors_DetroitPistons,2024-10-14,Golden State Warriors,Detroit Pistons,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,111,93,HOME,0.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-14_IndianaPacers_MemphisGrizzlies,2024-10-14,Indiana Pacers,Memphis Grizzlies,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,116,120,AWAY,1.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-14_AtlantaHawks_Philadelphia76ers,2024-10-14,Atlanta Hawks,Philadelphia 76ers,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,89,104,AWAY,1.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-14_BrooklynNets_WashingtonWizards,2024-10-14,Brooklyn Nets,Washington Wizards,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,131,92,HOME,0.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-15_MilwaukeeBucks_ChicagoBulls,2024-10-15,Milwaukee Bucks,Chicago Bulls,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,111,107,HOME,0.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-15_LAClippers_DallasMavericks,2024-10-15,LA Clippers,Dallas Mavericks,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,110,96,HOME,0.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-15_TorontoRaptors_BostonCeltics,2024-10-15,Toronto Raptors,Boston Celtics,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,119,118,HOME,0.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-15_MiamiHeat_SanAntonioSpurs,2024-10-15,Miami Heat,San Antonio Spurs,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,120,117,HOME,0.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-15_NewYorkKnicks_CharlotteHornets,2024-10-15,New York Knicks,Charlotte Hornets,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,111,105,HOME,0.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-16_HoustonRockets_NewOrleansPelicans,2024-10-16,Houston Rockets,New Orleans Pelicans,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,118,98,HOME,0.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-16_DenverNuggets_OklahomaCityThunder,2024-10-16,Denver Nuggets,Oklahoma City Thunder,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,94,124,AWAY,1.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-16_UtahJazz_SacramentoKings,2024-10-16,Utah Jazz,Sacramento Kings,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,117,114,HOME,0.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-16_LosAngelesLakers_GoldenStateWarriors,2024-10-16,Los Angeles Lakers,Golden State Warriors,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,97,111,AWAY,1.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-16_DetroitPistons_ClevelandCavaliers,2024-10-16,Detroit Pistons,Cleveland Cavaliers,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,108,92,HOME,0.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
