mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
4.412294387817383,0.4598065782074813,0.13326382637023926,0.0660103874759011,0.7,0.0,0.05,4,5,500,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 500, 'subsample': 0.7}",-5.132939011295415,-4.326922855605155,-4.06338918038539,-3.90412857169676,-10.845788924914425,-5.6546337087794285,2.6298061270413853,33,-1.395520816546875,-1.6512209418504642,-1.697486606587346,-1.8004776442068184,-1.870931628894309,-1.6831275276171627,0.16308480244152118
4.110555982589721,0.690145523289017,0.15584707260131836,0.1337078630076235,0.9,0.5,0.1,4,1,500,0.7,"{'colsample_bytree': 0.9, 'gamma': 0.5, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 500, 'subsample': 0.7}",-5.214719796372335,-4.172200400205473,-4.16774864580326,-3.817692515512242,-10.901764220350161,-5.654825115648694,2.664908678547764,34,-0.7263501925782843,-1.1325647779022414,-1.1940668713873488,-1.3759962948305633,-1.436427834131116,-1.173081194165911,0.24987058941519577
4.674372053146362,1.401374344689021,0.14410290718078614,0.06094140877637573,0.9,0.0,0.1,4,1,500,0.7,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 500, 'subsample': 0.7}",-5.214719796372335,-4.172200400205473,-4.16774864580326,-3.817692515512242,-10.901764220350161,-5.654825115648694,2.664908678547764,34,-0.7263501925782843,-1.1325647779022414,-1.1940668713873488,-1.3759962948305633,-1.436427834131116,-1.173081194165911,0.24987058941519577
4.623477363586426,1.5205920618767597,0.1939697265625,0.22383610211834754,0.9,0.1,0.1,4,1,500,0.7,"{'colsample_bytree': 0.9, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 500, 'subsample': 0.7}",-5.214719796372335,-4.172200400205473,-4.16774864580326,-3.817692515512242,-10.901764220350161,-5.654825115648694,2.664908678547764,34,-0.7263501925782843,-1.1325647779022414,-1.1940668713873488,-1.3759962948305633,-1.436427834131116,-1.173081194165911,0.24987058941519577
8.442361450195312,0.9938058872080436,0.1512293815612793,0.05311357398377498,0.7,0.5,0.05,4,5,700,0.8,"{'colsample_bytree': 0.7, 'gamma': 0.5, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 700, 'subsample': 0.8}",-5.116992853417433,-4.21348894491101,-4.12426446546198,-3.8017715279004696,-11.018131540448124,-5.654929866427803,2.716917104137383,37,-1.2680354762863326,-1.4246795443071274,-1.486316667047167,-1.581970939099534,-1.6941000901492922,-1.4910205433778907,0.14398532672107237
5.993651962280273,2.1837100292629428,0.11650528907775878,0.03738676332599913,0.9,0.0,0.05,4,5,700,0.9,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 700, 'subsample': 0.9}",-5.046431836783146,-4.256863157176484,-4.185712966340168,-3.8470425186370383,-10.95489451511906,-5.6581889988111795,2.677367643976481,38,-1.1370638404573714,-1.4056571726871876,-1.5505571847262845,-1.6111362895732202,-1.6895550130585058,-1.478793900100514,0.19453181660970173
4.502661609649659,1.0398298745983314,0.13822469711303711,0.059506088256703456,0.7,0.1,0.05,4,5,700,0.7,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 700, 'subsample': 0.7}",-5.079940484031556,-4.316649005359767,-4.092079292493513,-3.8227817062411877,-10.991820263426515,-5.660654150310508,2.6982628679481393,39,-1.2377028875134803,-1.4690116739499544,-1.497286936603514,-1.5920053760663841,-1.6363351245789308,-1.4864683997424528,0.1384948711502071
4.887658596038818,0.5351124851520951,0.11556267738342285,0.074502383925014,0.8,0.1,0.1,4,1,700,0.7,"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 700, 'subsample': 0.7}",-5.310104943894129,-4.223649981088328,-4.01343510205658,-3.8624787502747364,-10.894586102435829,-5.66085097594992,2.665658439353481,40,-0.5688002900762872,-0.8782144970043115,-1.0750768754896787,-1.1891950988238975,-1.294079985258625,-1.00107334933056,0.2563877916618769
5.4503560066223145,0.9280314125748482,0.15106334686279296,0.07400802305966259,0.8,0.5,0.1,4,1,700,0.7,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 700, 'subsample': 0.7}",-5.310104943894129,-4.223649981088328,-4.01343510205658,-3.8624787502747364,-10.894586102435829,-5.66085097594992,2.665658439353481,40,-0.5688002900762872,-0.8782144970043115,-1.0750768754896787,-1.1891950988238975,-1.294079985258625,-1.00107334933056,0.2563877916618769
4.5025311470031735,0.5520969040163615,0.09814019203186035,0.035066805731585944,0.8,0.0,0.1,4,1,700,0.7,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 700, 'subsample': 0.7}",-5.310104943894129,-4.223649981088328,-4.01343510205658,-3.8624787502747364,-10.894586102435829,-5.66085097594992,2.665658439353481,40,-0.5688002900762872,-0.8782144970043115,-1.0750768754896787,-1.1891950988238975,-1.294079985258625,-1.00107334933056,0.2563877916618769
